ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
AD24CFDD3F57D149,docked_bike,2020-01-30 15:53:31,2020-01-30 16:02:30,Kedzie Ave & Leland Ave,476,Kedzie Ave & Bryn Mawr Ave,494,41.9667,-87.7081,41.9824,-87.7089,member
CB6EE4DE03DB2A70,docked_bike,2020-01-14 15:46:50,2020-01-14 15:55:45,Christiana Ave & Lawrence Ave,474,Kedzie Ave & Bryn Mawr Ave,494,41.9684,-87.7118,41.9824,-87.7089,member
F8E3153D74489422,docked_bike,2020-01-14 8:19:08,2020-01-14 8:30:24,Green St & Madison St,198,Orleans St & Merchandise Mart Plaza,100,41.8819,-87.6488,41.8882,-87.6364,casual
7D24D22B63E739BB,docked_bike,2020-01-27 15:28:13,2020-01-27 15:37:38,Christiana Ave & Lawrence Ave,474,Kedzie Ave & Bryn Mawr Ave,494,41.9684,-87.7118,41.9824,-87.7089,member
EDF893B97A91E0E4,docked_bike,2020-01-06 16:02:52,2020-01-06 16:13:26,Christiana Ave & Lawrence Ave,474,Kedzie Ave & Bryn Mawr Ave,494,41.9684,-87.7118,41.9824,-87.7089,member
931AF1FB14BFF548,docked_bike,2020-01-16 7:45:52,2020-01-16 7:58:45,Canal St & Monroe St,191,Columbus Dr & Randolph St,195,41.8817,-87.6395,41.8847,-87.6195,member
2C423C3E618D976C,docked_bike,2020-01-23 17:15:14,2020-01-23 17:29:36,Columbus Dr & Randolph St,195,Canal St & Monroe St,191,41.8847,-87.6195,41.8817,-87.6395,member
9DE76054ABC30EFA,docked_bike,2020-01-07 14:48:59,2020-01-07 16:32:08,Glenwood Ave & Touhy Ave,525,Sheridan Rd & Greenleaf Ave,354,42.0127,-87.6661,42.0106,-87.6624,casual
767793A3DBD8DCE3,docked_bike,2020-01-22 20:09:04,2020-01-22 20:15:51,Kingsbury St & Kinzie St,133,Carpenter St & Huron St,92,41.8892,-87.6385,41.8946,-87.6534,member
81BCF614B93899F4,docked_bike,2020-01-03 6:40:21,2020-01-03 6:42:51,Dearborn St & Erie St,110,St. Clair St & Erie St,211,41.894,-87.6293,41.8944,-87.6227,member
44977FEDBA718CF7,docked_bike,2020-01-16 7:06:27,2020-01-16 7:31:44,Southport Ave & Irving Park Rd,318,Clark St & North Ave,126,41.9542,-87.6644,41.912,-87.6319,member
6DB97A7B5A896FBB,docked_bike,2020-01-07 7:02:20,2020-01-07 7:26:18,Southport Ave & Clark St,292,Clark St & North Ave,126,41.9571,-87.6642,41.912,-87.6319,member
D1DA0B49846DF5A4,docked_bike,2020-01-07 16:05:01,2020-01-07 16:26:54,Clark St & Lincoln Ave,141,Southport Ave & Irving Park Rd,318,41.9157,-87.6346,41.9542,-87.6644,member
03F39391B355FB5C,docked_bike,2020-01-25 14:12:24,2020-01-25 14:18:03,Wells St & Concord Ln,289,Halsted St & Willow St,224,41.9121,-87.6347,41.9139,-87.6488,member
42FA19141FF1A034,docked_bike,2020-01-29 16:21:40,2020-01-29 16:43:49,Clark St & North Ave,126,Southport Ave & Irving Park Rd,318,41.912,-87.6319,41.9542,-87.6644,member
AE008042993C9AF7,docked_bike,2020-01-11 16:19:32,2020-01-11 16:27:13,Halsted St & Willow St,224,Elston Ave & Wabansia Ave,315,41.9139,-87.6488,41.9129,-87.6642,member
43A5ADA2F74316BA,docked_bike,2020-01-11 9:59:32,2020-01-11 10:13:03,Halsted St & Willow St,224,Halsted St & Willow St,224,41.9139,-87.6488,41.9139,-87.6488,member
